Rank,Name,G,PA,HR,AVG,wRC+,WAR,WAR_162,WAR_600
1,Mike Trout,1249,5500,301,0.304,172,75.9,9.84,8.28
2,Buster Posey,1251,5136,140,0.302,129,53,6.86,6.19
3,Joey Votto,1460,6351,241,0.303,152,48.7,5.4,4.6
4,Robinson Cano,1494,6388,246,0.301,132,47.5,5.15,4.46
5,Andrew McCutchen,1503,6495,229,0.284,134,46.5,5.01,4.3
6,Miguel Cabrera,1412,6003,275,0.314,150,43.3,4.97,4.33
7,Adrian Beltre,1252,5253,227,0.307,130,42.8,5.54,4.89
8,Josh Donaldson,1063,4568,225,0.272,139,42.4,6.46,5.57
9,Yadier Molina,1350,5331,125,0.287,106,42.3,5.08,4.76
10,Paul Goldschmidt,1304,5593,249,0.293,141,41.2,5.12,4.42
11,Mookie Betts,844,3855,155,0.301,136,39.9,7.66,6.21
12,Giancarlo Stanton,1181,4974,312,0.269,143,39.9,5.47,4.81
13,Evan Longoria,1456,6174,243,0.265,116,39.1,4.35,3.8
14,Freddie Freeman,1400,5940,238,0.295,139,37.5,4.34,3.79
15,Jonathan Lucroy,1203,4568,108,0.274,102,37,4.98,4.86
16,Russell Martin,1123,4322,142,0.233,103,36.4,5.25,5.05
17,Bryce Harper,1136,4858,230,0.275,138,36.3,5.18,4.48
18,Ben Zobrist,1354,5707,125,0.267,116,36.1,4.32,3.8
19,Manny Machado,1136,4969,223,0.28,120,35.9,5.12,4.33
20,Jose Bautista,1223,5206,285,0.251,139,35.3,4.68,4.07
21,Anthony Rendon,965,4145,145,0.29,129,35.2,5.91,5.1
22,Jose Altuve,1285,5641,131,0.312,125,35.1,4.43,3.73
23,Nelson Cruz,1435,6014,362,0.282,139,34.9,3.94,3.48
24,Ian Kinsler,1373,6036,174,0.266,105,34.8,4.11,3.46
25,Christian Yelich,971,4261,150,0.297,136,34.5,5.76,4.86
26,Brett Gardner,1394,5718,126,0.259,105,33.9,3.94,3.56
27,Yasmani Grandal,921,3472,148,0.241,118,33.8,5.95,5.84
28,Brian McCann,1144,4478,191,0.245,105,33.4,4.73,4.48
29,Dustin Pedroia,1031,4658,98,0.296,115,32.8,5.15,4.22
30,Jason Heyward,1423,5745,150,0.262,108,32.8,3.73,3.43
31,Ryan Braun,1338,5457,248,0.293,133,32.1,3.89,3.53
32,Nolan Arenado,1079,4558,235,0.293,118,32.1,4.82,4.23
33,Kyle Seager,1315,5510,205,0.255,112,32.1,3.95,3.5
34,Justin Upton,1446,6057,262,0.263,121,31.9,3.57,3.16
35,Matt Carpenter,1194,4960,152,0.267,127,30,4.07,3.63
36,Anthony Rizzo,1260,5397,227,0.27,130,29.9,3.84,3.32
37,Lorenzo Cain,1050,4316,78,0.288,106,29,4.47,4.03
38,Francisco Lindor,771,3484,138,0.286,118,28.8,6.05,4.96
39,Edwin Encarnacion,1398,5921,345,0.261,133,28.8,3.34,2.92
40,Kris Bryant,738,3243,140,0.28,136,27.9,6.12,5.16
41,Troy Tulowitzki,859,3576,160,0.293,125,27.8,5.24,4.66
42,Curtis Granderson,1383,5410,242,0.236,115,27.4,3.21,3.04
43,Jose Ramirez,822,3367,126,0.28,122,27.3,5.38,4.86
44,Justin Turner,1097,3964,122,0.292,130,27,3.99,4.09
45,Alex Gordon,1414,5872,153,0.259,104,27,3.09,2.76
46,Chase Headley,1181,4760,109,0.262,108,26.4,3.62,3.33
47,Adam Jones,1499,6336,251,0.278,108,26.4,2.85,2.5
48,George Springer,790,3544,173,0.269,134,26.2,5.37,4.44
49,Xander Bogaerts,964,4133,117,0.288,113,26.1,4.39,3.79
50,Shin-Soo Choo,1336,5881,181,0.27,121,26,3.15,2.65
51,Andrelton Simmons,1060,4280,67,0.269,91,25.6,3.91,3.59
52,Michael Brantley,1212,5165,113,0.297,118,25.5,3.41,2.96
53,Starling Marte,1009,4216,113,0.287,116,25.4,4.08,3.61
54,Elvis Andrus,1507,6538,70,0.274,86,24.7,2.66,2.27
